STT,SHS,SBD,Họ và tên,GT,Ngày sinh,NV1,NV2,Tiếng Anh,Toán 1,Ngữ văn,Hóa học,Tin học,Vật lý,Sinh học,Toán 2,Kết luận,SĐT,Tin nhắn
2158,2911,864,Nguyễn Văn 2158,,06/04/2010,Chuyên tin học (thi Tin),,10,7.5,7.5,,5,,,,,984640899,
2159,2912,1745,Nguyễn Văn 2159,,09/09/2010,Chuyên toán học,Chuyên vật lý,10,8,7.75,,,0,,7,Chuyên Toán học,984640899,
2160,2913,1558,Nguyễn Văn 2160,,16/01/2010,Chuyên tin học (thi Toán),,10,5,7.5,,,,,2.5,,984640899,
2161,2914,641,Nguyễn Văn 2161,,04/02/2010,Chuyên tin học (thi Tin),,10,2,8.5,,5.5,,,,,984640899,
2162,2915,741,Nguyễn Văn 2162,Nữ,29/06/2010,Chuyên vật lý,,10,6,8,,,5.25,,,,984640899,
2163,2916,1241,Nguyễn Văn 2163,,05/11/2010,Chuyên toán học,,9.75,8.5,9,,,,,6,Chuyên Toán học,984640899,
2164,2917,759,Nguyễn Văn 2164,Nữ,27/10/2010,Chuyên sinh học,,10,2.5,9,,,,6.25,,,984640899,
2165,2918,1922,Nguyễn Văn 2165,Nữ,11/02/2010,Chuyên toán học,,9.75,7,9.25,,,,,7,Chuyên Toán học,984640899,
2166,2919,1856,Nguyễn Văn 2166,,16/01/2010,Chuyên vật lý,,9.25,4,8.75,,,3.5,,,,984640899,
2167,2921,382,Nguyễn Văn 2167,Nữ,04/08/2010,Chuyên hóa học,,9.25,6,8.5,3.75,,,,,,984640899,
2168,2922,722,Nguyễn Văn 2168,Nữ,11/10/2010,Chuyên tin học (thi Toán),Chuyên hóa học,10,3.5,7.5,0.75,,,,1,,984640899,
2169,2923,1284,Nguyễn Văn 2169,,12/02/2010,Chuyên tin học (thi Toán),,9.75,6,8.25,,,,,5.5,,984640899,
2170,2926,400,Nguyễn Văn 2170,Nữ,01/03/2010,Chuyên hóa học,,9.5,6.5,8,3,,,,,,984640899,
2171,2928,2658,Nguyễn Văn 2171,,24/11/2010,Chuyên vật lý,Chuyên tin học (thi Toán),9.75,6,8.5,,,6.5,,2.75,Chuyên Vật lý,984640899,
2172,2929,1499,Nguyễn Văn 2172,Nữ,01/06/2010,Chuyên vật lý,,9,6,7.75,,,5.5,,,Chuyên Vật lý,984640899,
2173,2930,2490,Nguyễn Văn 2173,,30/03/2010,Chuyên tin học (thi Toán),,7,6,8,,,,,0,,984640899,
2174,2931,2613,Nguyễn Văn 2174,Nữ,06/01/2010,Chuyên sinh học,,7.75,6,8.75,,,,2.75,,,984640899,
2175,2932,403,Nguyễn Văn 2175,Nữ,02/03/2010,Chuyên sinh học,,9.25,6,8.75,,,,8.5,,Chuyên Sinh học,984640899,
2176,2933,1487,Nguyễn Văn 2176,Nữ,06/12/2010,Chuyên hóa học,,9,1.5,8.75,3,,,,,,984640899,
2177,2934,1211,Nguyễn Văn 2177,Nữ,02/05/2010,Chuyên toán học,,10,8.75,8.25,,,,,7,Chuyên Toán học,984640899,
2178,2936,266,Nguyễn Văn 2178,,03/07/2010,Chuyên toán học,,10,7.5,8.25,,,,,5.5,,984640899,
2179,2937,953,Nguyễn Văn 2179,,16/11/2010,Chuyên toán học,,9,7.5,7.5,,,,,4.5,,984640899,
2180,2940,2208,Nguyễn Văn 2180,,12/12/2010,Chuyên tin học (thi Toán),,9.25,6,8,,,,,3.5,,984640899,
2181,2944,463,Nguyễn Văn 2181,,09/11/2010,Chuyên toán học,,9.75,5.5,8.25,,,,,2.5,,984640899,
2182,2945,2119,Nguyễn Văn 2182,,13/10/2010,Chuyên tin học (thi Toán),,8.5,4.25,8,,,,,0.5,,984640899,
2183,2946,2380,Nguyễn Văn 2183,,30/03/2010,Chuyên tin học (thi Toán),,9.75,3,6,,,,,5.75,,984640899,
2184,2947,2692,Nguyễn Văn 2184,Nữ,08/02/2010,Chuyên sinh học,,9.25,2.5,8.25,,,,6.5,,,984640899,
2185,2948,2293,Nguyễn Văn 2185,,20/09/2010,Chuyên toán học,,9.5,7.5,8.5,,,,,3.25,,984640899,
2186,2949,280,Nguyễn Văn 2186,,05/02/2010,Chuyên tin học (thi Toán),,10,8,8,,,,,7,Chuyên Tin học (thi Toán),984640899,
2187,2950,2344,Nguyễn Văn 2187,,29/12/2010,Chuyên toán học,,9.75,5,8.25,,,,,0.5,,984640899,
2188,2951,1962,Nguyễn Văn 2188,,01/08/2010,Chuyên sinh học,,9.5,2.5,7.75,,,,2.75,,,984640899,
2189,2952,687,Nguyễn Văn 2189,Nữ,03/09/2010,Chuyên sinh học,,10,5,7.25,,,,6.75,,Chuyên Sinh học,984640899,
2190,2953,1760,Nguyễn Văn 2190,Nữ,15/04/2010,Chuyên toán học,,9.25,5,8.75,,,,,1.5,,984640899,
2191,2954,1680,Nguyễn Văn 2191,,31/10/2010,Chuyên sinh học,,9.75,5,8,,,,5.25,,,984640899,
2192,2955,2368,Nguyễn Văn 2192,,23/11/2010,Chuyên vật lý,,9.5,2.5,9,,,5,,,,984640899,
2193,2956,1764,Nguyễn Văn 2193,,30/09/2010,Chuyên vật lý,,10,6.5,7.5,,,4.25,,,,984640899,
2194,2957,2542,Nguyễn Văn 2194,,17/01/2010,Chuyên toán học,,9,7,7,,,,,2,,984640899,
2195,2961,1608,Nguyễn Văn 2195,,01/04/2010,Chuyên sinh học,,8,6.5,8.5,,,,9.25,,Chuyên Sinh học,984640899,
2196,3043,1498,Nguyễn Văn 2196,Nữ,14/03/2010,Chuyên tin học (thi Toán),,9,1.5,9,,,,,1,,984640899,
2197,3045,1821,Nguyễn Văn 2197,,06/08/2010,Chuyên toán học,,8.75,7.5,5.5,,,,,7,Chuyên Toán học,984640899,
2198,3046,1599,Nguyễn Văn 2198,,01/01/2010,Chuyên hóa học,,8.75,5.5,6,3.5,,,,,,984640899,
2199,3048,116,Nguyễn Văn 2199,Nữ,03/11/2010,Chuyên tin học (thi Tin),,9.75,6,7.5,,5.5,,,,,984640899,
2200,3049,785,Nguyễn Văn 2200,Nữ,09/01/2010,Chuyên toán học,,9.75,5.5,6.75,,,,,3,,984640899,
2201,3050,2464,Nguyễn Văn 2201,Nữ,09/07/2010,Chuyên toán học,,8.5,7,8.5,,,,,1.5,,984640899,
2202,3051,1264,Nguyễn Văn 2202,,02/01/2010,Chuyên vật lý,,9.25,6,6.25,,,8.75,,,Chuyên Vật lý,984640899,
2203,3052,271,Nguyễn Văn 2203,,28/09/2010,Chuyên toán học,,10,7.5,5.75,,,,,6,Chuyên Toán học,984640899,
2204,3053,560,Nguyễn Văn 2204,,29/09/2010,Chuyên tin học (thi Toán),Chuyên vật lý,9.25,6.5,8,,,1.25,,0.5,,984640899,
2205,3054,2686,Nguyễn Văn 2205,,28/10/2010,Chuyên tin học (thi Tin),,8,2.5,8.75,,0,,,,,984640899,
2206,3056,831,Nguyễn Văn 2206,,14/10/2010,Chuyên toán học,,9,5,9,,,,,4.5,,984640899,
2207,3059,1770,Nguyễn Văn 2207,,05/04/2010,Chuyên toán học,,10,4.5,8.5,,,,,0.5,,984640899,
2208,3060,396,Nguyễn Văn 2208,Nữ,12/10/2010,Chuyên vật lý,,9.75,6,7.5,,,2.25,,,,984640899,
2209,3061,2534,Nguyễn Văn 2209,,08/12/2010,Chuyên toán học,,8,6,6.5,,,,,4.5,,984640899,
2210,3062,1921,Nguyễn Văn 2210,Nữ,29/12/2010,Chuyên tin học (thi Toán),,9.75,1.75,7.25,,,,,0,,984640899,
2211,3063,229,Nguyễn Văn 2211,,17/09/2010,Chuyên tin học (thi Toán),,10,8.5,8,,,,,8,Chuyên Tin học (thi Toán),984640899,
2212,3064,301,Nguyễn Văn 2212,,28/07/2010,Chuyên hóa học,,9,7.5,8,4.25,,,,,,984640899,
2213,3065,602,Nguyễn Văn 2213,,17/06/2010,Chuyên toán học,,9.25,7.5,9,,,,,2.5,,984640899,
2214,3066,526,Nguyễn Văn 2214,,19/01/2010,Chuyên tin học (thi Tin),,10,4.5,8.5,,7.25,,,,,984640899,
2215,3067,300,Nguyễn Văn 2215,,10/11/2010,Chuyên sinh học,,9.5,6,8.5,,,,5,,,984640899,
2216,3069,932,Nguyễn Văn 2216,,28/06/2010,Chuyên vật lý,,9.75,5,8.25,,,4.25,,,,984640899,
2217,3070,2405,Nguyễn Văn 2217,,09/12/2010,Chuyên toán học,,9,4,7,,,,,0.5,,984640899,
2218,3071,2245,Nguyễn Văn 2218,Nữ,26/11/2010,Chuyên sinh học,,9.25,2.5,8.25,,,,6,,,984640899,
2219,3073,879,Nguyễn Văn 2219,,05/02/2010,Chuyên tin học (thi Toán),,9.75,7,8.5,,,,,1.5,,984640899,
2220,3074,2473,Nguyễn Văn 2220,Nữ,13/11/2010,Chuyên hóa học,,9.75,5.5,7.75,3.5,,,,,,984640899,
2221,3075,1005,Nguyễn Văn 2221,,06/11/2010,Chuyên tin học (thi Toán),,7.75,5,7.75,,,,,3,,984640899,
2222,3076,1837,Nguyễn Văn 2222,Nữ,27/12/2010,Chuyên toán học,,8.5,6,7.75,,,,,2,,984640899,
2223,3077,119,Nguyễn Văn 2223,Nữ,13/01/2010,Chuyên sinh học,,9.5,2,8.25,,,,6.75,,,984640899,
2224,3082,256,Nguyễn Văn 2224,,07/12/2010,Chuyên vật lý,,9.75,7.5,8.75,,,8,,,Chuyên Vật lý,984640899,
2225,3083,368,Nguyễn Văn 2225,Nữ,05/03/2010,Chuyên sinh học,,10,1.5,7.25,,,,4,,,984640899,
2226,3084,1581,Nguyễn Văn 2226,,22/08/2010,Chuyên tin học (thi Toán),,10,5,8,,,,,4.5,,984640899,
2227,3085,1971,Nguyễn Văn 2227,,27/11/2010,Chuyên tin học (thi Toán),,9.25,3.5,8,,,,,0,,984640899,
2228,3088,981,Nguyễn Văn 2228,,03/02/2010,Chuyên hóa học,,9.25,4.5,8.25,2.5,,,,,,984640899,
2229,3089,2220,Nguyễn Văn 2229,,16/05/2010,Chuyên vật lý,,9.5,4,5.25,,,3.25,,,,984640899,
2230,3090,1908,Nguyễn Văn 2230,,07/06/2010,Chuyên tin học (thi Toán),,9.25,7.25,7,,,,,8,Chuyên Tin học (thi Toán),984640899,
2231,3092,1787,Nguyễn Văn 2231,Nữ,28/09/2010,Chuyên sinh học,,9.5,5,8.25,,,,6.75,,Chuyên Sinh học,984640899,
2232,3095,500,Nguyễn Văn 2232,,23/05/2010,Chuyên tin học (thi Tin),,9.25,4.5,7.25,,0,,,,,984640899,
2233,3097,1088,Nguyễn Văn 2233,,23/07/2010,Chuyên toán học,,9.5,7.5,8.25,,,,,4,,984640899,
2234,3099,432,Nguyễn Văn 2234,,07/11/2010,Chuyên tin học (thi Toán),Chuyên vật lý,9.25,7.5,8.75,,,3.25,,5.5,,984640899,
2235,3100,1033,Nguyễn Văn 2235,,18/01/2010,Chuyên tin học (thi Toán),,9.75,7.5,7.25,,,,,3,,984640899,
2236,3101,1857,Nguyễn Văn 2236,,28/09/2010,Chuyên hóa học,,9.5,6,8.5,4.5,,,,,,984640899,
2237,3103,1523,Nguyễn Văn 2237,Nữ,26/09/2010,Chuyên toán học,,8.25,7.5,8,,,,,7,Chuyên Toán học,984640899,
2238,3105,1180,Nguyễn Văn 2238,,26/11/2010,Chuyên toán học,,8.5,7.5,7.25,,,,,6,Chuyên Toán học,984640899,
2239,3106,395,Nguyễn Văn 2239,Nữ,19/04/2010,Chuyên hóa học,,10,6,9.25,5.75,,,,,Chuyên Hoá học,984640899,
2240,3107,820,Nguyễn Văn 2240,,30/12/2010,Chuyên tin học (thi Toán),,9.75,7.5,8.75,,,,,4.25,,984640899,
2241,3109,659,Nguyễn Văn 2241,,22/08/2010,Chuyên toán học,,7.75,1.5,8,,,,,0.5,,984640899,
2242,3110,1285,Nguyễn Văn 2242,,15/08/2010,Chuyên tin học (thi Toán),,9.75,7.25,7,,,,,5.5,,984640899,
2243,3111,2736,Nguyễn Văn 2243,,06/11/2010,Chuyên toán học,,9.75,7.5,8,,,,,6.5,Chuyên Toán học,984640899,
2244,3112,195,Nguyễn Văn 2244,,15/01/2010,Chuyên tin học (thi Toán),,10,7.5,7.25,,,,,3,,984640899,
2245,3113,969,Nguyễn Văn 2245,,19/11/2010,Chuyên hóa học,,10,6,8,4.75,,,,,,984640899,
2246,3114,2324,Nguyễn Văn 2246,Nữ,29/08/2010,Chuyên sinh học,,9.25,0,7.5,,,,4.75,,,984640899,
2247,3115,506,Nguyễn Văn 2247,Nữ,02/04/2010,Chuyên tin học (thi Toán),,10,6,7.5,,,,,3,,984640899,
2248,3116,1766,Nguyễn Văn 2248,,11/11/2010,Chuyên hóa học,,7.75,1.5,4.75,4.75,,,,,,984640899,
2249,3119,2675,Nguyễn Văn 2249,,11/01/2010,Chuyên toán học,,9.25,7,8.25,,,,,1.5,,984640899,
2250,3121,662,Nguyễn Văn 2250,,27/02/2010,Chuyên sinh học,,9.25,4.5,8,,,,5,,,984640899,
2251,3122,393,Nguyễn Văn 2251,Nữ,13/01/2010,Chuyên toán học,,10,7,8.75,,,,,7,Chuyên Toán học,984640899,
2252,3123,639,Nguyễn Văn 2252,,15/08/2010,Chuyên hóa học,,9.75,2,7.75,2.5,,,,,,984640899,
2253,3124,36,Nguyễn Văn 2253,Nữ,01/10/2010,Chuyên sinh học,,9.75,6,8,,,,6.5,,Chuyên Sinh học,984640899,
2254,3125,701,Nguyễn Văn 2254,,02/04/2010,Chuyên vật lý,Chuyên toán học,10,7,7.75,,,5,,1.5,Chuyên Vật lý,984640899,
2255,3126,896,Nguyễn Văn 2255,,28/05/2010,Chuyên tin học (thi Toán),,8.75,7.5,7,,,,,7,Chuyên Tin học (thi Toán),984640899,
2256,3127,86,Nguyễn Văn 2256,,04/03/2010,Chuyên tin học (thi Toán),,9.5,7,6,,,,,1,,984640899,
2257,3128,1710,Nguyễn Văn 2257,,16/09/2010,Chuyên tin học (thi Tin),Chuyên hóa học,8.75,0,7.75,0,2.5,,,,,984640899,
2258,3131,293,Nguyễn Văn 2258,,16/12/2010,Chuyên toán học,,8.75,6,7,,,,,5,,984640899,
2259,3132,989,Nguyễn Văn 2259,,08/08/2010,Chuyên toán học,,8.75,5.5,8.75,,,,,3,,984640899,
2260,3133,804,Nguyễn Văn 2260,,13/04/2010,Chuyên hóa học,Chuyên tin học (thi Toán),8.25,6.25,8.75,4.25,,,,0,,984640899,
2261,3135,2011,Nguyễn Văn 2261,Nữ,17/08/2010,Chuyên tin học (thi Toán),,8.5,6.5,8.25,,,,,3,,984640899,
2262,3138,2315,Nguyễn Văn 2262,,14/12/2010,Chuyên vật lý,,9.75,1.5,8.25,,,6.5,,,,984640899,
2263,3141,261,Nguyễn Văn 2263,,24/10/2010,Chuyên tin học (thi Toán),,10,6,7.5,,,,,0,,984640899,
2264,3149,416,Nguyễn Văn 2264,,12/10/2010,Chuyên tin học (thi Toán),,7.75,5,7.75,,,,,2.5,,984640899,
2265,3151,475,Nguyễn Văn 2265,,25/03/2010,Chuyên hóa học,,9.75,2,7,2.75,,,,,,984640899,
2266,3154,1081,Nguyễn Văn 2266,,27/08/2010,Chuyên toán học,,9.75,7.5,8.5,,,,,3,,984640899,
2267,3155,1783,Nguyễn Văn 2267,,20/05/2010,Chuyên tin học (thi Toán),,10,5.5,6.75,,,,,1,,984640899,
2268,3156,597,Nguyễn Văn 2268,Nữ,28/10/2010,Chuyên toán học,,8.25,5,7.75,,,,,0.5,,984640899,
2269,3157,1580,Nguyễn Văn 2269,Nữ,28/01/2010,Chuyên toán học,,9.25,7.5,7.75,,,,,2,,984640899,
2270,3158,1602,Nguyễn Văn 2270,Nữ,13/10/2010,Chuyên toán học,,9,4,8,,,,,0,,984640899,
2271,3159,1217,Nguyễn Văn 2271,Nữ,06/12/2010,Chuyên sinh học,,10,5,8.25,,,,7,,Chuyên Sinh học,984640899,
2272,3160,505,Nguyễn Văn 2272,Nữ,03/11/2010,Chuyên toán học,,9.5,6.5,8.75,,,,,7.5,Chuyên Toán học,984640899,
2273,3163,927,Nguyễn Văn 2273,,29/03/2010,Chuyên hóa học,,9.75,2.5,8.25,1.5,,,,,,984640899,
2274,3165,2617,Nguyễn Văn 2274,Nữ,08/10/2010,Chuyên tin học (thi Toán),,8.25,5.5,7.75,,,,,3,,984640899,
2275,3166,1587,Nguyễn Văn 2275,,31/10/2010,Chuyên tin học (thi Toán),,9.75,6.5,8.75,,,,,7,Chuyên Tin học (thi Toán),984640899,
2276,3167,575,Nguyễn Văn 2276,,14/01/2010,Chuyên tin học (thi Toán),,9.5,1,7,,,,,1.5,,984640899,
2277,3168,1199,Nguyễn Văn 2277,,28/02/2010,Chuyên vật lý,,9.25,4,6.5,,,3,,,,984640899,
2278,3169,1194,Nguyễn Văn 2278,,17/10/2010,Chuyên tin học (thi Toán),,9.75,7.5,7.75,,,,,5,,984640899,
2279,3170,2313,Nguyễn Văn 2279,,06/08/2010,Chuyên toán học,,9.25,5,6.75,,,,,1.5,,984640899,
2280,3174,1572,Nguyễn Văn 2280,Nữ,17/06/2010,Chuyên hóa học,,9.75,7,7.75,4,,,,,,984640899,
2281,3175,596,Nguyễn Văn 2281,,28/01/2010,Chuyên toán học,,9.25,7,7.75,,,,,1,,984640899,
2282,3176,1253,Nguyễn Văn 2282,,04/03/2010,Chuyên toán học,,10,7.5,8,,,,,5.5,,984640899,
2283,3177,1012,Nguyễn Văn 2283,,16/12/2010,Chuyên tin học (thi Toán),,9.25,5,8.75,,,,,2.25,,984640899,
2284,3179,1225,Nguyễn Văn 2284,,26/08/2010,Chuyên hóa học,,8.75,2,8.75,2.75,,,,,,984640899,
2285,3181,1621,Nguyễn Văn 2285,,08/01/2010,Chuyên tin học (thi Tin),,9.75,4.5,8,,7,,,,,984640899,
2286,3182,1884,Nguyễn Văn 2286,,08/04/2010,Chuyên vật lý,,9.25,7.25,8,,,4.25,,,,984640899,
2287,3183,2322,Nguyễn Văn 2287,Nữ,25/06/2010,Chuyên vật lý,,9.25,6,8,,,4.25,,,,984640899,
2288,3184,2311,Nguyễn Văn 2288,,21/12/2010,Chuyên tin học (thi Tin),,9.25,4.5,7.25,,0.75,,,,,984640899,
2289,3185,1245,Nguyễn Văn 2289,,11/10/2010,Chuyên toán học,,10,7.5,8.5,,,,,4,,984640899,
2290,3187,292,Nguyễn Văn 2290,,11/10/2010,Chuyên hóa học,,8,4,8,2.25,,,,,,984640899,
2291,3188,1254,Nguyễn Văn 2291,,02/11/2010,Chuyên vật lý,,9.25,5.5,8.25,,,5,,,,984640899,
2292,3191,2190,Nguyễn Văn 2292,,25/02/2010,Chuyên vật lý,Chuyên tin học (thi Toán),9.5,5.5,7.5,,,5,,0.5,,984640899,
2293,3192,2115,Nguyễn Văn 2293,,28/10/2010,Chuyên toán học,,9.25,5,7.75,,,,,0.5,,984640899,
2294,3193,826,Nguyễn Văn 2294,,07/04/2010,Chuyên vật lý,,9.25,6,8,,,8.25,,,Chuyên Vật lý,984640899,
2295,3194,2457,Nguyễn Văn 2295,Nữ,29/11/2010,Chuyên sinh học,,9.25,5,8.25,,,,4.75,,,984640899,
2296,3198,565,Nguyễn Văn 2296,,22/04/2010,Chuyên hóa học,,8.5,1,7,1,,,,,,984640899,
2297,3200,901,Nguyễn Văn 2297,,28/08/2010,Chuyên tin học (thi Tin),,9.25,4.5,7,,5,,,,,984640899,
2298,3201,884,Nguyễn Văn 2298,,02/09/2010,Chuyên tin học (thi Toán),,9,8,9,,,,,4.5,,984640899,
2299,3203,1352,Nguyễn Văn 2299,,26/04/2010,Chuyên toán học,Chuyên hóa học,9.75,4.75,7.5,0,,,,0,,984640899,
2300,3204,1545,Nguyễn Văn 2300,,21/10/2010,Chuyên hóa học,,8.75,1.5,7.5,2.5,,,,,,984640899,
2301,3205,1120,Nguyễn Văn 2301,,21/04/2010,Chuyên tin học (thi Toán),,9,7,6.25,,,,,7,Chuyên Tin học (thi Toán),984640899,
2302,3207,790,Nguyễn Văn 2302,Nữ,04/11/2010,Chuyên vật lý,,10,4.5,9.25,,,3.5,,,,984640899,
2303,3209,99,Nguyễn Văn 2303,,28/01/2010,Chuyên tin học (thi Toán),Chuyên vật lý,8.75,4,8,,,0,,1,,984640899,
2304,3210,1650,Nguyễn Văn 2304,,27/10/2010,Chuyên tin học (thi Toán),,9,5.5,8,,,,,0.5,,984640899,
2305,3212,2301,Nguyễn Văn 2305,,10/08/2010,Chuyên hóa học,,9.25,6,8.75,3.5,,,,,,984640899,
2306,3213,2491,Nguyễn Văn 2306,,15/04/2010,Chuyên vật lý,,9.25,5,7.75,,,6.25,,,Chuyên Vật lý,984640899,
2307,3214,2704,Nguyễn Văn 2307,,10/04/2010,Chuyên toán học,,9,7.5,8,,,,,7,Chuyên Toán học,984640899,
2308,3215,2304,Nguyễn Văn 2308,,26/10/2010,Chuyên vật lý,,9,3.5,8,,,7.5,,,,984640899,
2309,3216,825,Nguyễn Văn 2309,,03/12/2010,Chuyên toán học,,10,6.5,7.75,,,,,1.5,,984640899,
2310,3217,2187,Nguyễn Văn 2310,,02/08/2010,Chuyên toán học,,7.5,7.5,7,,,,,5.5,,984640899,
2311,3219,1706,Nguyễn Văn 2311,,01/10/2010,Chuyên hóa học,,9,2,8.25,1.75,,,,,,984640899,
2312,3222,212,Nguyễn Văn 2312,Nữ,29/03/2010,Chuyên hóa học,,10,6,8.5,7.5,,,,,Chuyên Hoá học,984640899,
2313,3223,306,Nguyễn Văn 2313,,26/04/2010,Chuyên hóa học,,9.25,3.5,8.5,4.25,,,,,,984640899,
2314,3225,2055,Nguyễn Văn 2314,,13/07/2010,Chuyên vật lý,,9,6,8.5,,,5.5,,,Chuyên Vật lý,984640899,
2315,3226,234,Nguyễn Văn 2315,,08/07/2010,Chuyên tin học (thi Tin),,9.25,5,7,,6.5,,,,,984640899,
2316,3227,1046,Nguyễn Văn 2316,,04/01/2010,Chuyên tin học (thi Toán),,9.5,6,8.5,,,,,6,,984640899,
2317,3229,1848,Nguyễn Văn 2317,,01/04/2010,Chuyên vật lý,,9.5,6,6.5,,,3,,,,984640899,
2318,3230,2589,Nguyễn Văn 2318,,28/09/2010,Chuyên tin học (thi Toán),,8.5,2.5,8.5,,,,,0.5,,984640899,
2319,3231,1052,Nguyễn Văn 2319,,29/09/2010,Chuyên tin học (thi Toán),,9.75,5,7,,,,,1.5,,984640899,
2320,3232,1628,Nguyễn Văn 2320,,04/06/2010,Chuyên toán học,,8.5,4.5,6.5,,,,,0.75,,984640899,
2321,3234,1234,Nguyễn Văn 2321,,16/07/2010,Chuyên toán học,,9.75,7.5,7.75,,,,,7,Chuyên Toán học,984640899,
2322,3235,422,Nguyễn Văn 2322,,10/01/2010,Chuyên toán học,,9.5,8.5,7.75,,,,,6,Chuyên Toán học,984640899,
2323,3237,1071,Nguyễn Văn 2323,,10/09/2010,Chuyên hóa học,Chuyên sinh học,9.5,0.5,5,0.75,,,0,,,984640899,
2324,3240,688,Nguyễn Văn 2324,Nữ,13/11/2010,Chuyên toán học,,9.5,7.5,8.25,,,,,3.5,,984640899,
2325,3241,2400,Nguyễn Văn 2325,Nữ,27/05/2010,Chuyên tin học (thi Toán),,9.75,5.25,9,,,,,3.5,,984640899,
2326,3245,447,Nguyễn Văn 2326,,24/05/2010,Chuyên toán học,,8.5,7.5,8.25,,,,,7,Chuyên Toán học,984640899,
2327,3246,738,Nguyễn Văn 2327,,10/08/2010,Chuyên tin học (thi Toán),,9,7.5,7.5,,,,,5.5,,984640899,
2328,3247,2024,Nguyễn Văn 2328,,23/08/2010,Chuyên vật lý,,9.5,2,6.75,,,2.75,,,,984640899,
2329,3250,786,Nguyễn Văn 2329,Nữ,10/03/2010,Chuyên tin học (thi Toán),,8.75,6,8.5,,,,,0.5,,984640899,
2330,3251,2442,Nguyễn Văn 2330,,20/09/2010,Chuyên hóa học,,8.75,1,7,3.5,,,,,,984640899,
2331,3252,633,Nguyễn Văn 2331,,14/11/2010,Chuyên toán học,,9.5,7.5,9,,,,,5.75,,984640899,
2332,3253,2215,Nguyễn Văn 2332,,27/02/2010,Chuyên hóa học,,9.5,2,7.5,3,,,,,,984640899,
2333,3254,2581,Nguyễn Văn 2333,,04/03/2010,Chuyên sinh học,,8.5,0,4.75,,,,3.5,,,984640899,
2334,3255,483,Nguyễn Văn 2334,,22/07/2010,Chuyên tin học (thi Tin),,9.5,6,8.25,,1,,,,,984640899,
2335,3256,808,Nguyễn Văn 2335,,04/02/2010,Chuyên hóa học,,9.5,6,8.5,4.75,,,,,,984640899,
2336,3257,1265,Nguyễn Văn 2336,,05/07/2010,Chuyên hóa học,,9.25,6,7.75,5,,,,,,984640899,
2337,3258,1746,Nguyễn Văn 2337,,25/10/2010,Chuyên tin học (thi Toán),,9.75,6,8.5,,,,,1.5,,984640899,
2338,3259,2290,Nguyễn Văn 2338,,10/07/2010,Chuyên vật lý,,9.75,6,6.5,,,1.5,,,,984640899,
2339,3260,2428,Nguyễn Văn 2339,Nữ,20/03/2010,Chuyên toán học,Chuyên hóa học,9.5,6,8.5,0,,,,4.5,,984640899,
2340,3262,79,Nguyễn Văn 2340,,01/07/2010,Chuyên toán học,,9.25,7.5,7.5,,,,,6.5,Chuyên Toán học,984640899,
2341,3264,2630,Nguyễn Văn 2341,Nữ,24/01/2010,Chuyên sinh học,,9,0,9,,,,3.25,,,984640899,
2342,3265,1333,Nguyễn Văn 2342,,10/07/2010,Chuyên hóa học,,8,6,6.25,7.25,,,,,Chuyên Hoá học,984640899,
2343,3266,2255,Nguyễn Văn 2343,Nữ,13/04/2010,Chuyên vật lý,,9.5,7,7.5,,,7.5,,,Chuyên Vật lý,984640899,
2344,3267,2481,Nguyễn Văn 2344,,19/10/2010,Chuyên tin học (thi Toán),,9.5,5,7.5,,,,,0,,984640899,
2345,3268,2597,Nguyễn Văn 2345,,13/11/2010,Chuyên tin học (thi Toán),,10,7,8,,,,,3.5,,984640899,
2346,3269,1796,Nguyễn Văn 2346,,17/11/2010,Chuyên toán học,,9.75,6.5,7.75,,,,,7,Chuyên Toán học,984640899,
2347,3270,454,Nguyễn Văn 2347,,12/01/2010,Chuyên tin học (thi Toán),,9.25,7.5,8,,,,,4.5,,984640899,
2348,3272,1212,Nguyễn Văn 2348,Nữ,15/06/2010,Chuyên tin học (thi Toán),,9.25,7.5,8.5,,,,,2.5,,984640899,
2349,3273,1167,Nguyễn Văn 2349,,03/02/2010,Chuyên hóa học,,9,6,8,2.5,,,,,,984640899,
2350,3274,1607,Nguyễn Văn 2350,,07/08/2010,Chuyên vật lý,,9.25,2.5,8.5,,,4,,,,984640899,
2351,3275,699,Nguyễn Văn 2351,,15/08/2010,Chuyên toán học,,10,7.5,7,,,,,7,Chuyên Toán học,984640899,
2352,3276,165,Nguyễn Văn 2352,Nữ,13/07/2010,Chuyên hóa học,,8.75,2.5,8.5,3.25,,,,,,984640899,
2353,3277,1622,Nguyễn Văn 2353,,27/07/2010,Chuyên hóa học,,9.75,6,8,3.25,,,,,,984640899,
2354,3278,915,Nguyễn Văn 2354,,01/11/2010,Chuyên vật lý,,8.5,7.5,5.75,,,6.75,,,Chuyên Vật lý,984640899,
2355,3281,341,Nguyễn Văn 2355,,15/01/2010,Chuyên tin học (thi Toán),,9.25,6.25,7.75,,,,,0.5,,984640899,
2356,3282,1256,Nguyễn Văn 2356,,12/07/2010,Chuyên toán học,,9.75,7.5,8,,,,,7,Chuyên Toán học,984640899,
2357,3283,841,Nguyễn Văn 2357,Nữ,23/07/2010,Chuyên toán học,,9,2.5,9,,,,,0.5,,984640899,
2358,3284,632,Nguyễn Văn 2358,,27/05/2010,Chuyên tin học (thi Tin),,9.5,6,7.5,,7.5,,,,Chuyên Tin học (thi Tin),984640899,
